gu_code,ldong_code,ldong_name
11110,1111018600,신영동
11110,1111018700,무악동
11140,1114010100,무교동
11140,1114010200,다동
11140,1114010300,태평로1가
11140,1114010400,을지로1가
11140,1114010500,을지로2가
11140,1114010600,남대문로1가
11140,1114010700,삼각동
11140,1114010800,수하동
11140,1114010900,장교동
11140,1114011000,수표동
11140,1114011100,소공동
11140,1114011200,남창동
11140,1114011300,북창동
11140,1114011400,태평로2가
11140,1114011500,남대문로2가
11140,1114011600,남대문로3가
11140,1114011700,남대문로4가
11140,1114011800,남대문로5가
11140,1114011900,봉래동1가
11140,1114012000,봉래동2가
11140,1114012100,회현동1가
11140,1114012200,회현동2가
11140,1114012300,회현동3가
11140,1114012400,충무로1가
11140,1114012500,충무로2가
11140,1114012600,명동1가
11140,1114012700,명동2가
11140,1114012800,남산동1가
11140,1114012900,남산동2가
11140,1114013000,남산동3가
11140,1114013100,저동1가
11140,1114013200,충무로4가
11140,1114013300,충무로5가
11140,1114013400,인현동2가
11140,1114013500,예관동
11140,1114013600,묵정동
11140,1114013700,필동1가
11140,1114013800,필동2가
11140,1114013900,필동3가
11140,1114014000,남학동
11140,1114014100,주자동
11140,1114014200,예장동
11140,1114014300,장충동1가
11140,1114014400,장충동2가
11140,1114014500,광희동1가
11140,1114014600,광희동2가
11140,1114014700,쌍림동
11140,1114014800,을지로6가
11140,1114014900,을지로7가
11140,1114015000,을지로4가
11140,1114015100,을지로5가
11140,1114015200,주교동
11140,1114015300,방산동
11140,1114015400,오장동
11140,1114015500,을지로3가
11140,1114015600,입정동
11140,1114015700,산림동
11140,1114015800,충무로3가
11140,1114015900,초동
11140,1114016000,인현동1가
11140,1114016100,저동2가
11140,1114016200,신당동
11140,1114016300,흥인동
11140,1114016400,무학동
11140,1114016500,황학동
11140,1114016600,서소문동
11140,1114016700,정동
11140,1114016800,순화동
11140,1114016900,의주로1가
11140,1114017000,충정로1가
11140,1114017100,중림동
11140,1114017200,의주로2가
11140,1114017300,만리동1가
11140,1114017400,만리동2가
11170,1117010100,후암동
11170,1117010200,용산동2가
11170,1117010300,용산동4가
11170,1117010400,갈월동
11170,1117010500,남영동
11170,1117010600,용산동1가
11170,1117010700,동자동
11170,1117010800,서계동
11170,1117010900,청파동1가
11170,1117011000,청파동2가
11170,1117011100,청파동3가
11170,1117011200,원효로1가
11170,1117011300,원효로2가
11170,1117011400,신창동
11170,1117011500,산천동
11170,1117011600,청암동
11170,1117011700,원효로3가
11170,1117011800,원효로4가
11170,1117011900,효창동
11170,1117012000,도원동
11170,1117012100,용문동
11170,1117012200,문배동
11170,1117012300,신계동
11170,1117012400,한강로1가
11170,1117012500,한강로2가
11170,1117012600,용산동3가
11170,1117012700,용산동5가
11170,1117012800,한강로3가
11170,1117012900,이촌동
11170,1117013000,이태원동
11170,1117013100,한남동
11170,1117013200,동빙고동
11170,1117013300,서빙고동
11170,1117013400,주성동
11170,1117013500,용산동6가
11170,1117013600,보광동
11200,1120010100,상왕십리동
11200,1120010200,하왕십리동
11200,1120010300,홍익동
11200,1120010400,도선동
11200,1120010500,마장동
11200,1120010600,사근동
11200,1120010700,행당동
11200,1120010800,응봉동
11200,1120010900,금호동1가
11200,1120011000,금호동2가
11200,1120011100,금호동3가
11200,1120011200,금호동4가
11200,1120011300,옥수동
11200,1120011400,성수동1가
11200,1120011500,성수동2가
11200,1120011800,송정동
11200,1120012200,용답동
11215,1121510100,중곡동
11215,1121510200,능동
11215,1121510300,구의동
11215,1121510400,광장동
11215,1121510500,자양동
11215,1121510700,화양동
11215,1121510900,군자동
11230,1123010100,신설동
11230,1123010200,용두동
11230,1123010300,제기동
11230,1123010400,전농동
11230,1123010500,답십리동
11230,1123010600,장안동
11230,1123010700,청량리동
11230,1123010800,회기동
11230,1123010900,휘경동
11230,1123011000,이문동
11260,1126010100,면목동
11260,1126010200,상봉동
11260,1126010300,중화동
11260,1126010400,묵동
11260,1126010500,망우동
11260,1126010600,신내동
11290,1129010100,성북동
11290,1129010200,성북동1가
11290,1129010300,돈암동
11290,1129010400,동소문동1가
11290,1129010500,동소문동2가
11290,1129010600,동소문동3가
11290,1129010700,동소문동4가
11290,1129010800,동소문동5가
11290,1129010900,동소문동6가
11290,1129011000,동소문동7가
11290,1129011100,삼선동1가
11290,1129011200,삼선동2가
11290,1129011300,삼선동3가
11290,1129011400,삼선동4가
11290,1129011500,삼선동5가
11290,1129011600,동선동1가
11290,1129011700,동선동2가
11290,1129011800,동선동3가
11290,1129011900,동선동4가
11290,1129012000,동선동5가
11290,1129012100,안암동1가
11290,1129012200,안암동2가
11290,1129012300,안암동3가
11290,1129012400,안암동4가
11290,1129012500,안암동5가
11290,1129012600,보문동4가
11290,1129012700,보문동5가
11290,1129012800,보문동6가
11290,1129012900,보문동7가
11290,1129013000,보문동1가
11290,1129013100,보문동2가
11290,1129013200,보문동3가
11290,1129013300,정릉동
11290,1129013400,길음동
11290,1129013500,종암동
11290,1129013600,하월곡동
11290,1129013700,상월곡동
11290,1129013800,장위동
11290,1129013900,석관동
11305,1130510100,미아동
11305,1130510200,번동
11305,1130510300,수유동
11305,1130510400,우이동
11320,1132010500,쌍문동
11320,1132010600,방학동
11320,1132010700,창동
11320,1132010800,도봉동
11350,1135010200,월계동
11350,1135010300,공릉동
11350,1135010400,하계동
11350,1135010500,상계동
11350,1135010600,중계동
11380,1138010100,수색동
11380,1138010200,녹번동
11380,1138010300,불광동
11380,1138010400,갈현동
11380,1138010500,구산동
11380,1138010600,대조동
11380,1138010700,응암동
11380,1138010800,역촌동
11380,1138010900,신사동
11380,1138011000,증산동
11380,1138011400,진관동
11410,1141010100,충정로2가
11410,1141010200,충정로3가
11410,1141010300,합동
11410,1141010400,미근동
11410,1141010500,냉천동
11410,1141010600,천연동
11410,1141010700,옥천동
11410,1141010800,영천동
11410,1141010900,현저동
11410,1141011000,북아현동
11410,1141011100,홍제동
11410,1141011200,대현동
11410,1141011300,대신동
11410,1141011400,신촌동
11410,1141011500,봉원동
11410,1141011600,창천동
11410,1141011700,연희동
11410,1141011800,홍은동
11410,1141011900,북가좌동
11410,1141012000,남가좌동
11440,1144010100,아현동
11440,1144010200,공덕동
11440,1144010300,신공덕동
11440,1144010400,도화동
11440,1144010500,용강동
11440,1144010600,토정동
11440,1144010700,마포동
11440,1144010800,대흥동
11440,1144010900,염리동
11440,1144011000,노고산동
11440,1144011100,신수동
11440,1144011200,현석동
11440,1144011300,구수동
11440,1144011400,창전동
11440,1144011500,상수동
11440,1144011600,하중동
11440,1144011700,신정동
11440,1144011800,당인동
11440,1144012000,서교동
11440,1144012100,동교동
11440,1144012200,합정동
11440,1144012300,망원동
11440,1144012400,연남동
11440,1144012500,성산동
11440,1144012600,중동
11440,1144012700,상암동
11470,1147010100,신정동
11470,1147010200,목동
11470,1147010300,신월동
11500,1150010100,염창동
11500,1150010200,등촌동
11500,1150010300,화곡동
11500,1150010400,가양동
11500,1150010500,마곡동
11500,1150010600,내발산동
11500,1150010700,외발산동
11500,1150010800,공항동
11500,1150010900,방화동
11500,1150011000,개화동
11500,1150011100,과해동
11500,1150011200,오곡동
11500,1150011300,오쇠동
11530,1153010100,신도림동
11530,1153010200,구로동
11530,1153010300,가리봉동
11530,1153010600,고척동
11530,1153010700,개봉동
11530,1153010800,오류동
11530,1153010900,궁동
11530,1153011000,온수동
11530,1153011100,천왕동
11530,1153011200,항동
11545,1154510100,가산동
11545,1154510200,독산동
11545,1154510300,시흥동
11560,1156010100,영등포동
11560,1156010200,영등포동1가
11560,1156010300,영등포동2가
11560,1156010400,영등포동3가
11560,1156010500,영등포동4가
11560,1156010600,영등포동5가
11560,1156010700,영등포동6가
11560,1156010800,영등포동7가
11560,1156010900,영등포동8가
11560,1156011000,여의도동
11560,1156011100,당산동1가
11560,1156011200,당산동2가
11560,1156011300,당산동3가
11560,1156011400,당산동4가
11560,1156011500,당산동5가
11560,1156011600,당산동6가
11560,1156011700,당산동
11560,1156011800,도림동
11560,1156011900,문래동1가
11560,1156012000,문래동2가
11560,1156012100,문래동3가
11560,1156012200,문래동4가
11560,1156012300,문래동5가
11560,1156012400,문래동6가
11560,1156012500,양평동1가
11560,1156012600,양평동2가
11560,1156012700,양평동3가
11560,1156012800,양평동4가
11560,1156012900,양평동5가
11560,1156013000,양평동6가
11560,1156013100,양화동
11560,1156013200,신길동
11560,1156013300,대림동
11560,1156013400,양평동
11590,1159010100,노량진동
11590,1159010200,상도동
11590,1159010300,상도1동
11590,1159010400,본동
11590,1159010500,흑석동
11590,1159010600,동작동
11590,1159010700,사당동
11590,1159010800,대방동
11590,1159010900,신대방동
11620,1162010100,봉천동
11620,1162010200,신림동
11620,1162010300,남현동
11650,1165010100,방배동
11650,1165010200,양재동
11650,1165010300,우면동
11650,1165010400,원지동
11650,1165010600,잠원동
11650,1165010700,반포동
11650,1165010800,서초동
11650,1165010900,내곡동
11650,1165011000,염곡동
11650,1165011100,신원동
11680,1168010100,역삼동
11680,1168010300,개포동
11680,1168010400,청담동
11680,1168010500,삼성동
11680,1168010600,대치동
11680,1168010700,신사동
11680,1168010800,논현동
11680,1168011000,압구정동
11680,1168011100,세곡동
11680,1168011200,자곡동
11680,1168011300,율현동
11680,1168011400,일원동
11680,1168011500,수서동
11680,1168011800,도곡동
11710,1171010100,잠실동
11710,1171010200,신천동
11710,1171010300,풍납동
11710,1171010400,송파동
11710,1171010500,석촌동
11710,1171010600,삼전동
11710,1171010700,가락동
11710,1171010800,문정동
11710,1171010900,장지동
11710,1171011100,방이동
11710,1171011200,오금동
11710,1171011300,거여동
11710,1171011400,마천동
11740,1174010100,명일동
11740,1174010200,고덕동
11740,1174010300,상일동
11740,1174010500,길동
11740,1174010600,둔촌동
11740,1174010700,암사동
11740,1174010800,성내동
11740,1174010900,천호동
11740,1174011000,강일동
